ticker,date,price_type,price
WFC,2022-02-23,low,53.76
WFC,2022-02-24,low,50.68
WFC,2022-02-25,low,53.09
WFC,2022-02-28,low,52.21
WFC,2022-03-01,low,50.01
WFC,2022-03-02,low,51.0
WFC,2022-03-03,low,50.94
WFC,2022-03-04,low,48.18
WFC,2022-03-07,low,45.77
WFC,2022-03-08,low,46.35
WFC,2022-03-09,low,48.35
WFC,2022-03-10,low,47.85
WFC,2022-03-11,low,48.43
WFC,2022-03-14,low,49.3
WFC,2022-03-15,low,49.33
WFC,2022-03-16,low,50.73
WFC,2022-03-17,low,50.23
WFC,2022-03-18,low,50.04
WFC,2022-03-21,low,50.61
WFC,2022-03-22,low,52.3
WFC,2022-03-23,low,51.1
WFC,2022-03-24,low,50.91
WFC,2022-03-25,low,51.41
WFC,2022-03-28,low,50.78
WFC,2022-03-29,low,51.52
WFC,2022-03-30,low,49.79
WFC,2022-03-31,low,48.43
WFC,2022-04-01,low,47.83
WFC,2022-04-04,low,47.61
WFC,2022-04-05,low,47.77
WFC,2022-04-06,low,47.4
WFC,2022-04-07,low,46.58
WFC,2022-04-08,low,47.93
WFC,2022-04-11,low,48.92
WFC,2022-04-12,low,48.0
WFC,2022-04-13,low,47.45
WFC,2022-04-14,low,45.03
WFC,2022-04-18,low,46.15
WFC,2022-04-19,low,47.33
WFC,2022-04-20,low,48.32
WFC,2022-04-21,low,47.6
WFC,2022-04-22,low,46.26
WFC,2022-04-25,low,44.53
WFC,2022-04-26,low,44.56
WFC,2022-04-27,low,44.14
WFC,2022-04-28,low,44.31
WFC,2022-04-29,low,43.51
WFC,2022-05-02,low,42.61
WFC,2022-05-03,low,43.66
WFC,2022-05-04,low,44.18
WFC,2022-05-05,low,43.45
WFC,2022-05-06,low,43.52
WFC,2022-05-09,low,43.23
WFC,2022-05-10,low,42.19
WFC,2022-05-11,low,42.49
WFC,2022-05-12,low,40.92
WFC,2022-05-13,low,42.28
WFC,2022-05-16,low,41.7
WFC,2022-05-17,low,42.96
WFC,2022-05-18,low,41.89
WFC,2022-05-19,low,41.57
WFC,2022-05-20,low,40.74
WFC,2022-05-23,low,42.73
WFC,2022-05-24,low,42.64
WFC,2022-05-25,low,43.03
WFC,2022-05-26,low,44.75
WFC,2022-05-27,low,45.45
WFC,2022-05-31,low,45.0
WFC,2022-06-01,low,44.4
WFC,2022-06-02,low,44.51
WFC,2022-06-03,low,44.61
WFC,2022-06-06,low,44.96
WFC,2022-06-07,low,44.63
WFC,2022-06-08,low,44.23
WFC,2022-06-09,low,42.64
WFC,2022-06-10,low,40.02
WFC,2022-06-13,low,38.77
WFC,2022-06-14,low,37.01
WFC,2022-06-15,low,37.33
WFC,2022-06-16,low,36.54
WFC,2022-06-17,low,37.5
WFC,2022-06-21,low,38.87
WFC,2022-06-22,low,38.31
WFC,2022-06-23,low,37.15
WFC,2022-06-24,low,38.51
WFC,2022-06-27,low,39.9
WFC,2022-06-28,low,40.08
WFC,2022-06-29,low,39.55
WFC,2022-06-30,low,38.28
WFC,2022-07-01,low,38.46
WFC,2022-07-05,low,38.51
WFC,2022-07-06,low,38.92
WFC,2022-07-07,low,39.73
WFC,2022-07-08,low,39.86
WFC,2022-07-11,low,39.24
WFC,2022-07-12,low,39.01
WFC,2022-07-13,low,38.41
WFC,2022-07-14,low,37.43
WFC,2022-07-15,low,39.23
WFC,2022-07-18,low,41.02
WFC,2022-07-19,low,41.75
WFC,2022-07-20,low,42.36
WFC,2022-07-21,low,42.28
WFC,2022-07-22,low,42.69
WFC,2022-07-25,low,43.21
WFC,2022-07-26,low,42.81
WFC,2022-07-27,low,42.69
WFC,2022-07-28,low,42.71
WFC,2022-07-29,low,43.31
WFC,2022-08-01,low,43.16
WFC,2022-08-02,low,42.86
WFC,2022-08-03,low,43.25
WFC,2022-08-04,low,42.64
WFC,2022-08-05,low,42.53
WFC,2022-08-08,low,43.13
WFC,2022-08-09,low,42.99
WFC,2022-08-10,low,44.04
WFC,2022-08-11,low,44.89
WFC,2022-08-12,low,45.19
WFC,2022-08-15,low,44.91
WFC,2022-08-16,low,45.35
WFC,2022-08-17,low,45.55
WFC,2022-08-18,low,45.76
WFC,2022-08-19,low,45.04
WFC,2022-08-22,low,44.12
WFC,2022-08-23,low,44.28
WFC,2022-08-24,low,44.02
WFC,2022-08-25,low,44.43
WFC,2022-08-26,low,43.94
WFC,2022-08-29,low,43.58
WFC,2022-08-30,low,43.55
WFC,2022-08-31,low,43.61
WFC,2022-09-01,low,42.8
WFC,2022-09-02,low,43.17
WFC,2022-09-06,low,42.36
WFC,2022-09-07,low,42.25
WFC,2022-09-08,low,43.34
WFC,2022-09-09,low,45.25
WFC,2022-09-12,low,45.26
WFC,2022-09-13,low,43.04
WFC,2022-09-14,low,42.25
WFC,2022-09-15,low,43.35
WFC,2022-09-16,low,43.33
WFC,2022-09-19,low,43.41
WFC,2022-09-20,low,43.09
WFC,2022-09-21,low,42.24
WFC,2022-09-22,low,41.44
WFC,2022-09-23,low,39.7
WFC,2022-09-26,low,39.34
WFC,2022-09-27,low,39.41
WFC,2022-09-28,low,39.9
WFC,2022-09-29,low,39.77
WFC,2022-09-30,low,40.18
WFC,2022-10-03,low,40.64
WFC,2022-10-04,low,42.16
WFC,2022-10-05,low,42.56
WFC,2022-10-06,low,42.21
WFC,2022-10-07,low,41.39
WFC,2022-10-10,low,41.15
WFC,2022-10-11,low,40.06
WFC,2022-10-12,low,39.96
WFC,2022-10-13,low,39.75
WFC,2022-10-14,low,43.13
WFC,2022-10-17,low,43.89
WFC,2022-10-18,low,43.82
WFC,2022-10-19,low,43.3
WFC,2022-10-20,low,43.5
WFC,2022-10-21,low,43.57
WFC,2022-10-24,low,44.83
WFC,2022-10-25,low,44.37
WFC,2022-10-26,low,45.47
WFC,2022-10-27,low,45.55
WFC,2022-10-28,low,45.47
WFC,2022-10-31,low,45.98
WFC,2022-11-01,low,46.26
WFC,2022-11-02,low,46.49
WFC,2022-11-03,low,45.41
WFC,2022-11-04,low,45.9
WFC,2022-11-07,low,46.81
WFC,2022-11-08,low,46.72
WFC,2022-11-09,low,45.95
WFC,2022-11-10,low,46.93
WFC,2022-11-11,low,47.33
WFC,2022-11-14,low,46.87
WFC,2022-11-15,low,46.24
WFC,2022-11-16,low,46.03
WFC,2022-11-17,low,45.47
WFC,2022-11-18,low,45.97
WFC,2022-11-21,low,46.38
WFC,2022-11-22,low,46.91
WFC,2022-11-23,low,46.99
WFC,2022-11-25,low,47.02
WFC,2022-11-28,low,46.92
WFC,2022-11-29,low,47.04
WFC,2022-11-30,low,46.14
WFC,2022-12-01,low,46.46
WFC,2022-12-02,low,44.88
WFC,2022-12-05,low,43.62
WFC,2022-12-06,low,42.66
WFC,2022-12-07,low,42.44
WFC,2022-12-08,low,42.11
WFC,2022-12-09,low,42.32
WFC,2022-12-12,low,42.11
WFC,2022-12-13,low,42.11
WFC,2022-12-14,low,41.95
WFC,2022-12-15,low,41.01
WFC,2022-12-16,low,40.85
WFC,2022-12-19,low,41.11
WFC,2022-12-20,low,40.97
WFC,2022-12-21,low,40.92
WFC,2022-12-22,low,40.02
WFC,2022-12-23,low,40.45
WFC,2022-12-27,low,40.61
WFC,2022-12-28,low,40.86
WFC,2022-12-29,low,41.06
WFC,2022-12-30,low,40.99
WFC,2023-01-03,low,41.45
WFC,2023-01-04,low,42.23
WFC,2023-01-05,low,41.93
WFC,2023-01-06,low,42.1
WFC,2023-01-09,low,42.16
WFC,2023-01-10,low,42.02
WFC,2023-01-11,low,42.02
WFC,2023-01-12,low,42.8
WFC,2023-01-13,low,40.46
WFC,2023-01-17,low,43.18
WFC,2023-01-18,low,43.3
WFC,2023-01-19,low,42.52
WFC,2023-01-20,low,42.76
WFC,2023-01-23,low,43.87
WFC,2023-01-24,low,40.01
WFC,2023-01-25,low,44.03
WFC,2023-01-26,low,45.16
WFC,2023-01-27,low,45.81
WFC,2023-01-30,low,45.81
WFC,2021-01-04,close,29.7
WFC,2021-01-05,close,30.53
WFC,2021-01-06,close,32.69
WFC,2021-01-07,close,33.43
WFC,2021-01-08,close,33.19
WFC,2021-01-11,close,33.24
WFC,2021-01-12,close,33.94
WFC,2021-01-13,close,33.8
WFC,2021-01-14,close,34.75
WFC,2021-01-15,close,32.04
WFC,2021-01-19,close,32.63
WFC,2021-01-20,close,32.46
WFC,2021-01-21,close,32.0
WFC,2021-01-22,close,31.9
WFC,2021-01-25,close,32.24
WFC,2021-01-26,close,31.38
WFC,2021-01-27,close,30.17
WFC,2021-01-28,close,30.81
WFC,2021-01-29,close,29.88
WFC,2021-02-01,close,29.99
WFC,2021-02-02,close,30.75
WFC,2021-02-03,close,31.7
WFC,2021-02-04,close,32.66
WFC,2021-02-05,close,32.56
WFC,2021-02-08,close,33.4
WFC,2021-02-09,close,33.26
WFC,2021-02-10,close,33.2
WFC,2021-02-11,close,32.72
WFC,2021-02-12,close,33.53
WFC,2021-02-16,close,34.79
WFC,2021-02-17,close,36.59
WFC,2021-02-18,close,36.96
WFC,2021-02-19,close,37.83
WFC,2021-02-22,close,37.26
WFC,2021-02-23,close,37.14
WFC,2021-02-24,close,38.29
WFC,2021-02-25,close,37.56
WFC,2021-02-26,close,36.17
WFC,2021-03-01,close,37.09
WFC,2021-03-02,close,37.14
WFC,2021-03-03,close,37.69
WFC,2021-03-04,close,37.16
WFC,2021-03-05,close,37.43
WFC,2021-03-08,close,38.67
WFC,2021-03-09,close,38.13
WFC,2021-03-10,close,39.58
WFC,2021-03-11,close,38.88
WFC,2021-03-12,close,39.97
WFC,2021-03-15,close,39.7
WFC,2021-03-16,close,39.35
WFC,2021-03-17,close,39.84
WFC,2021-03-18,close,40.81
WFC,2021-03-19,close,39.63
WFC,2021-03-22,close,38.97
WFC,2021-03-23,close,38.24
WFC,2021-03-24,close,38.12
WFC,2021-03-25,close,39.3
WFC,2021-03-26,close,39.76
WFC,2021-03-29,close,38.44
WFC,2021-03-30,close,39.39
WFC,2021-03-31,close,39.07
WFC,2021-04-01,close,39.63
WFC,2021-04-05,close,39.48
WFC,2021-04-06,close,39.85
WFC,2021-04-07,close,39.99
WFC,2021-04-08,close,40.03
WFC,2021-04-09,close,40.5
WFC,2021-04-12,close,40.77
WFC,2021-04-13,close,39.79
WFC,2021-04-14,close,41.99
WFC,2021-04-15,close,42.24
WFC,2021-04-16,close,43.84
WFC,2021-04-19,close,43.88
WFC,2021-04-20,close,42.54
WFC,2021-04-21,close,43.24
WFC,2021-04-22,close,42.7
WFC,2021-04-23,close,43.86
WFC,2021-04-26,close,44.14
WFC,2021-04-27,close,45.09
WFC,2021-04-28,close,45.08
WFC,2021-04-29,close,46.24
WFC,2021-04-30,close,45.05
WFC,2021-05-03,close,45.48
WFC,2021-05-04,close,45.74
WFC,2021-05-05,close,45.94
WFC,2021-05-06,close,46.63
WFC,2021-05-07,close,46.54
